Year,Broad Gauge- Number of - Wagons - per train - (In term of 4-wheelers),Broad Gauge- Net Load - (Tonnes),Broad Gauge-Gross Load - inc.weight - of engine - (Tonnes),Metre Gauge-Number of - Wagons - per train - (In term of 4-wheelers),Metre Gauge-Net Load - (Tonnes),Metre Gauge - Gross Load - inc.weight - of engine - (Tonnes)
1950-51,44,489,1068,33,185,435
1955-56,46,537,1146,37,246,537
1960-61,51,656,1354,40,298,648
1961-62,52,657,1358,40,311,663
1962-63,54,699,1405,40,323,679
1963-64,54,701,1424,42,334,698
1964-65,55,700,1427,41,329,692
1965-66,57,725,1470,42,347,716
1966-67,58,735,1484,42,346,712
1967-68,59,724,1484,43,348,718
1968-69,60,739,1514,43,358,734
1969-70,60,721,1496,43,362,734
1970-71,60,737,1507,43,378,753
1971-72,60,748,1518,44,391,768
1972-73,60,763,1539,45,403,783
1973-74,60,745,1528,44,408,785
1974-75,61,778,1563,44,422,800
1975-76,61,782,1577,44,413,800
1976-77,64,796,1607,43,413,785
1977-78,64,818,1638,44,423,800
1978-79,65,826,1648,45,451,835
1979-80,65,863,1694,45,467,849
1980-81,66,884,1721,45,487,871
1981-82,69,911,1780,46,508,897
1982-83,69,898,1766,46,520,908
1983-84,71,892,1787,47,539,929
1984-85,73,922,1843,47,523,916
1986-87,78,1031,1999,48,520,916
1987-88,80,1053,2050,49,544,943
1988-89,81,1042,2054,49,553,954
1989-90,83,1060,2094,49,576,979
1990-91,85,1079,2122,49,562,962
1991-92,88,1119,2191,49,585,983
1992-93,91,1128,2238,50,574,986
1993-94,93,1142,2264,50,599,1012
1994-95,96,1100,2273,50,576,997
1995-96,98,1158,2354,53,582,1018
1996-97,100,1169,2393,50,516,937
1997-98,103,1175,2424,49,514,937
1998-99,105,1180,2448,48,498,906
1999-00,106,1208,2488,47,410,813
2000-01,108,1233,2533,46,414,806
2001-02,110,1280,2604,47,393,784
2002-03,110,1327,2636,45,331,719
2003-04,109,1490,2876,45,341,713
2004-05,112,1466,2909,44,386,781
2005-06,112,1529,2920,48,489,1122
2006-07,113,1588,2959,46,523,1056
2007-08,113,1607,2952,48,663,1328
2008-09,47,1624,2962,35,496,918
2009-10,48,1691,3042,27,572,988
2010-11,48,1702,3063,23,488,902
2011-12,49,1711,3086,23,443,862
2012-13,49,1732,3095,24,455,887
2013-14,47,1686,3045,24,565,990
